ibge,anomes,cadunico_tot_fam,cadunico_tot_pes,cadunico_tot_fam_rpc_ate_meio_sm,cadunico_tot_pes_rpc_ate_meio_sm,cadunico_tot_fam_pob,cadunico_tot_pes_pob,cadunico_tot_fam_ext_pob,cadunico_tot_pes_ext_pob,cadunico_tot_fam_pob_e_ext_pob,cadunico_tot_pes_pob_e_ext_pob
240150,202102,933,2694,820,2459,45,156,639,1866,684,2022
240160,202102,1457,4317,1223,3882,39,162,933,2977,972,3139
240165,202102,971,2629,806,2317,25,92,667,1877,692,1969
240170,202102,2621,6953,2212,6221,202,612,1507,4127,1709,4739
240180,202102,2990,8755,2400,7567,567,1692,1046,3519,1613,5211
240185,202102,1204,3737,1107,3564,57,221,913,2909,970,3130
240190,202102,1077,3127,927,2880,18,87,796,2481,814,2568
240200,202102,10712,27053,8540,23415,852,2530,4926,13225,5778,15755
240210,202102,3305,8047,2678,7051,23,117,2264,5779,2287,5896
240220,202102,7219,21487,6494,20363,329,1409,5158,15910,5487,17319
240230,202102,5812,14609,4659,12709,227,562,3662,10067,3889,10629
240240,202102,1797,5154,1164,3701,104,344,384,1087,488,1431
240250,202102,3014,7719,2640,7213,82,244,2262,6136,2344,6380
240260,202102,13727,40356,11911,37324,1695,4976,7355,24198,9050,29174
240270,202102,2302,6759,2019,6290,106,317,1457,4709,1563,5026
240280,202102,1709,4302,1443,3872,56,143,1156,3064,1212,3207
240290,202102,1167,3379,954,2911,31,137,688,1986,719,2123
240300,202102,2304,5831,1659,4656,70,206,1033,2848,1103,3054
